,Angels,Astros,Athletics,Blue Jays,Braves,Brewers,Cardinals,Cubs,Diamondbacks,Dodgers,Giants,Indians,Mariners,Marlins,Mets,Nationals,Orioles,Padres,Phillies,Pirates,Position,Rangers,Rays,Red Sox,Reds,Rockies,Royals,Tigers,Twins,White Sox,Yankees,Year
0,12.0,15.6,8.8,16.1,24.4,6.2,12.5,14.0,8.8,15.7,6.8,11.6,14.5,2.8,13.0,8.4,15.0,17.7,11.2,13.3,SP,14.5,7.8,11.3,12.4,10.7,8.6,11.1,11.5,5.3,18.4,1998
0,3.7,2.8,3.1,2.5,2.5,2.3,0.0,0.8,0.2,1.7,5.1,3.9,1.3,-1.3,1.6,3.8,1.2,3.6,0.6,4.2,RP,3.4,3.0,4.2,0.3,5.0,2.7,1.8,2.8,0.2,2.8,1998
0,10.1,21.7,15.2,12.1,22.8,8.0,11.5,10.2,19.0,13.3,7.3,12.2,10.3,8.4,11.2,13.2,11.5,9.8,6.9,12.9,SP,11.5,8.6,19.7,9.7,7.6,9.9,10.1,10.0,8.2,15.9,1999
0,3.1,5.0,3.4,1.8,4.9,-1.1,2.5,-0.7,2.7,-0.6,2.5,3.3,-1.2,0.7,4.7,4.6,0.2,2.2,0.0,2.0,RP,6.9,4.3,3.9,4.0,0.7,-2.4,2.4,2.2,3.2,5.4,1999
0,3.2,8.6,12.3,12.8,20.9,7.6,14.2,9.1,18.5,12.9,11.7,14.7,13.3,10.7,17.3,10.5,13.3,7.4,13.1,13.0,SP,9.4,9.7,14.7,9.7,11.4,6.8,12.7,9.9,10.7,12.8,2000
0,1.7,0.2,4.7,1.3,1.4,2.7,0.8,-1.0,3.6,3.6,4.7,5.7,2.2,2.5,1.8,3.3,-1.2,2.1,-2.1,0.3,RP,1.6,3.9,5.8,4.1,4.9,-0.1,4.6,3.5,5.9,4.7,2000
0,10.2,10.0,18.8,13.7,17.3,5.3,12.6,17.1,19.6,15.1,11.4,12.6,13.3,12.3,15.7,12.4,8.9,6.9,10.2,6.8,SP,7.2,6.1,16.9,6.0,9.8,6.3,6.2,10.1,9.7,18.4,2001
0,3.8,4.4,5.1,4.3,3.8,1.4,-0.4,5.1,2.2,1.3,5.2,8.4,5.6,1.0,1.4,1.7,1.0,1.2,3.3,2.2,RP,-1.4,0.4,2.2,4.1,0.6,1.3,0.4,1.6,3.7,7.7,2001
0,12.3,14.9,18.2,11.4,13.4,3.8,10.7,17.0,23.8,12.5,12.5,13.2,12.3,11.2,9.8,13.4,6.7,7.1,11.2,5.0,SP,8.1,5.4,19.9,6.2,5.4,7.7,12.1,11.2,9.9,22.1,2002
0,3.8,4.4,4.9,0.8,6.5,1.0,3.5,0.5,2.6,3.9,5.6,2.1,6.0,0.6,3.6,3.2,2.2,1.9,1.9,2.2,RP,-0.5,-2.6,2.7,5.1,1.1,-0.2,-0.9,4.9,4.1,6.1,2002
